ts_code,review_status,reviewer_type,reviewer_id,reviewer_model,reviewed_date,next_review_date,source_evidence_ids,conclusion,note
600519.SH,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
300760.SZ,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
300628.SZ,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
000786.SZ,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
002032.SZ,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
603195.SH,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
000651.SZ,NOT_REVIEWED,,,,,,,,待完成可审计的人工或AI护城河审核
600941.SH,NOT_REVIEWED,,,,,,,,既有种子仓进入限期复核；未确认则按阶梯退出
000400.SZ,NOT_REVIEWED,,,,,,,,新建种子仓前必须完成可审计护城河审核
600312.SH,NOT_REVIEWED,,,,,,,,新建种子仓前必须完成可审计护城河审核
